ts_iso,level,event,path,method,status,job_id,top_n,n_candidates_input,n_candidates_scored,duration_ms,error
2025-09-30T22:39:14.460Z,INFO,rank_success,/rank/{job_id},POST,200,5183,5,50,5,601.07,
2025-09-30T22:42:31.112Z,INFO,jobs_list_success,/jobs/,GET,200,,5,14081,5,1.33,
2025-09-30T22:42:31.118Z,WARNING,jobs_get_not_found,/jobs/5185,GET,404,5185,,,,1.61,
2025-09-30T22:44:55.635Z,INFO,jobs_list_success,/jobs/,GET,200,,5,14081,5,1.31,
2025-09-30T22:44:55.641Z,WARNING,jobs_get_not_found,/jobs/5185,GET,404,5185,,,,1.57,
2025-09-30T22:44:55.646Z,ERROR,jobs_create_exception,/jobs/,POST,500,,,,,1.58,"can only concatenate str (not ""int"") to str"
2025-09-30T22:44:55.648Z,INFO,candidates_list_success,/candidates/,GET,200,,5,42482,5,0.48,
2025-09-30T22:52:41.683Z,INFO,jobs_list_success,/jobs/,GET,200,,5,14081,5,1.26,
2025-09-30T22:52:41.688Z,INFO,jobs_get_success,/jobs/5185,GET,200,5185,,,1,1.26,
2025-09-30T22:52:41.693Z,ERROR,jobs_create_exception,/jobs/,POST,500,,,,,1.71,"can only concatenate str (not ""int"") to str"
2025-09-30T22:52:41.697Z,INFO,candidates_list_success,/candidates/,GET,200,,5,42482,5,0.51,
2025-09-30T22:53:22.370Z,INFO,jobs_list_success,/jobs/,GET,200,,5,14081,5,1.10,
2025-09-30T22:53:22.375Z,INFO,jobs_get_success,/jobs/5185,GET,200,5185,,,1,1.27,
2025-09-30T22:53:22.383Z,INFO,jobs_create_success,/jobs/,POST,201,10000,,14081,14082,4.61,
2025-09-30T22:53:22.387Z,INFO,candidates_list_success,/candidates/,GET,200,,5,42482,5,0.52,
